Month,SASCO System PPA Consumption (MWh),STAE  (Westcamp) PPA Consumption (MWh),SASCO System (RECs),STAE (Westcamp) (RECs),SASCO Predicted RECs,STAE Predicted RECs
Jan-22,0,0,0,0,114,97
Dec-21,0,0,0,0,112,94
Nov-21,164.511,139.986,99,84,0,
Oct-21,189.88,163.753,114,98,0,
Sep-21,198.449,159.236,119,96,0,
Aug-21,173.966,140.743,104,84,0,
Jul-21,199.192,161.96,120,97,0,
Jun-21,185.781,152.013,111,91,0,
May-21,186.368,144.233,112,87,0,
Apr-21,176.73,149.315,106,90,0,
Mar-21,199.866,170.76,120,102,0,
